Run 14989
Subrun 399
Event 3990044
39.88 -5.25 47.25
39.88 -5.25 33.75
39.88 -5.25 42.75
39.88 -5.25 24.75
39.88 -5.25 15.75
39.88 -5.25 11.25
39.88 -5.25 20.25
16.76 -10.35 11.25
16.76 -7.95 74.25
16.76 -5.55 65.25
16.76 -7.95 47.25
16.76 -5.55 47.25
16.76 -5.55 24.75
16.76 -5.55 33.75
16.76 -5.55 20.25
16.76 -5.55 29.25
16.76 -7.95 56.25
16.76 -7.95 60.75
16.76 -5.55 42.75
16.76 -5.55 15.75
16.76 -5.55 38.25
16.76 -7.95 51.75
40.94 -5.55 47.25
40.94 -5.55 33.75
40.94 -5.55 24.75
40.94 -5.55 15.75
40.94 -5.55 11.25
40.94 -5.55 20.25
41.5 -5.85 24.75
41.5 -5.85 15.75
41.5 -5.85 11.25
41.5 -5.85 20.25
16.84 -9.45 11.55
16.84 -7.05 74.55
16.84 -4.65 65.55
16.84 -7.05 47.55
16.84 -4.65 47.55
16.84 -4.65 25.05
16.84 -4.65 34.05
16.84 -4.65 20.55
16.84 -4.65 29.55
16.84 -7.05 56.55
16.84 -7.05 61.05
16.84 -4.65 43.05
16.84 -4.65 16.05
16.84 -4.65 38.55
16.84 -7.05 52.05
16.84 -4.65 79.05
11.76 -9.75 20.55
11.76 -9.75 11.55
11.76 -7.35 74.55
16.86 -10.05 11.55
16.86 -7.65 74.55
16.86 -5.25 65.55
16.86 -7.65 47.55
16.86 -5.25 47.55
16.86 -5.25 25.05
16.86 -5.25 34.05
16.86 -5.25 20.55
16.86 -5.25 29.55
16.86 -7.65 56.55
16.86 -7.65 61.05
16.86 -5.25 43.05
16.86 -5.25 16.05
16.86 -5.25 38.55
16.86 -7.65 52.05
16.86 -5.25 79.05
40.38 -5.25 52.05
40.38 -5.25 47.55
40.38 -5.25 34.05
40.38 -5.25 43.05
40.38 -5.25 25.05
40.38 -5.25 16.05
40.38 -5.25 11.55
40.38 -5.25 20.55
16.76 -10.35 11.55
16.76 -7.95 74.55
16.76 -5.55 65.55
16.76 -7.95 47.55
16.76 -5.55 47.55
16.76 -5.55 25.05
16.76 -5.55 34.05
16.76 -5.55 20.55
16.76 -5.55 29.55
16.76 -7.95 56.55
16.76 -7.95 61.05
16.76 -5.55 43.05
16.76 -5.55 16.05
16.76 -5.55 38.55
16.76 -7.95 52.05
40.9 -5.55 47.55
40.9 -5.55 34.05
40.9 -5.55 25.05
40.9 -5.55 16.05
40.9 -5.55 11.55
40.9 -5.55 20.55
41.46 -5.85 25.05
41.46 -5.85 16.05
41.46 -5.85 11.55
41.46 -5.85 20.55
11.74 -9.75 20.85
11.74 -9.75 11.85
11.74 -7.35 74.85
16.86 -10.05 11.85
16.86 -7.65 74.85
16.86 -5.25 65.85
16.86 -7.65 47.85
16.86 -5.25 47.85
16.86 -5.25 25.35
16.86 -5.25 34.35
16.86 -5.25 20.85
16.86 -5.25 29.85
16.86 -7.65 56.85
16.86 -7.65 61.35
16.86 -5.25 43.35
16.86 -5.25 16.35
16.86 -5.25 38.85
16.86 -7.65 52.35
16.86 -5.25 79.35
40.36 -5.25 52.35
40.36 -5.25 47.85
40.36 -5.25 56.85
40.36 -5.25 34.35
40.36 -5.25 43.35
40.36 -5.25 25.35
40.36 -5.25 16.35
40.36 -5.25 11.85
40.36 -5.25 20.85
16.76 -10.35 11.85
16.76 -7.95 74.85
16.76 -5.55 65.85
16.76 -7.95 47.85
16.76 -5.55 47.85
16.76 -5.55 25.35
16.76 -5.55 34.35
16.76 -5.55 20.85
16.76 -5.55 29.85
16.76 -7.95 56.85
16.76 -7.95 61.35
16.76 -5.55 43.35
16.76 -5.55 16.35
16.76 -5.55 38.85
16.76 -7.95 52.35
40.92 -5.55 47.85
40.92 -5.55 34.35
40.92 -5.55 25.35
40.92 -5.55 16.35
40.92 -5.55 11.85
40.92 -5.55 20.85
10.78 -10.35 20.85
41.46 -5.85 25.35
41.46 -5.85 16.35
41.46 -5.85 11.85
41.46 -5.85 20.85
11.7 -9.75 21.15
11.7 -9.75 12.15
11.7 -7.35 75.15
16.88 -10.05 12.15
16.88 -7.65 75.15
16.88 -5.25 66.15
16.88 -7.65 48.15
16.88 -5.25 48.15
16.88 -5.25 25.65
16.88 -5.25 34.65
16.88 -5.25 21.15
16.88 -5.25 30.15
16.88 -7.65 57.15
16.88 -7.65 61.65
16.88 -5.25 43.65
16.88 -5.25 16.65
16.88 -5.25 39.15
16.88 -7.65 52.65
16.88 -5.25 79.65
40.1 -5.25 52.65
40.1 -5.25 48.15
40.1 -5.25 57.15
40.1 -5.25 34.65
40.1 -5.25 43.65
40.1 -5.25 25.65
40.1 -5.25 16.65
40.1 -5.25 12.15
40.1 -5.25 21.15
10.76 -10.05 21.15
16.76 -10.35 12.15
16.76 -7.95 75.15
16.76 -5.55 66.15
16.76 -7.95 48.15
16.76 -5.55 48.15
16.76 -5.55 25.65
16.76 -5.55 34.65
16.76 -5.55 21.15
16.76 -5.55 30.15
16.76 -7.95 57.15
16.76 -7.95 61.65
16.76 -5.55 43.65
16.76 -5.55 16.65
16.76 -5.55 39.15
16.76 -7.95 52.65
40.66 -5.55 48.15
40.66 -5.55 34.65
40.66 -5.55 25.65
40.66 -5.55 16.65
40.66 -5.55 12.15
40.66 -5.55 21.15
41.46 -5.85 25.65
41.46 -5.85 16.65
41.46 -5.85 12.15
41.46 -5.85 21.15
11.04 -9.75 21.45
11.04 -9.75 12.45
11.68 -9.75 21.45
11.68 -9.75 12.45
11.68 -7.35 75.45
16.9 -10.05 12.45
16.9 -7.65 75.45
16.9 -5.25 66.45
16.9 -7.65 48.45
16.9 -5.25 48.45
16.9 -5.25 25.95
16.9 -5.25 34.95
16.9 -5.25 21.45
16.9 -5.25 30.45
16.9 -7.65 57.45
16.9 -7.65 61.95
16.9 -5.25 43.95
16.9 -5.25 16.95
16.9 -5.25 39.45
16.9 -7.65 52.95
16.9 -5.25 79.95
40.3 -5.25 52.95
40.3 -5.25 48.45
40.3 -5.25 57.45
40.3 -5.25 34.95
40.3 -5.25 43.95
40.3 -5.25 25.95
40.3 -5.25 16.95
40.3 -5.25 12.45
40.3 -5.25 21.45
10.78 -10.05 21.45
16.74 -10.35 12.45
16.74 -7.95 75.45
16.74 -5.55 66.45
16.74 -7.95 48.45
16.74 -5.55 48.45
16.74 -5.55 25.95
16.74 -5.55 34.95
16.74 -5.55 21.45
16.74 -5.55 30.45
16.74 -7.95 57.45
16.74 -7.95 61.95
16.74 -5.55 43.95
16.74 -5.55 16.95
16.74 -5.55 39.45
16.74 -7.95 52.95
40.66 -5.55 48.45
40.66 -5.55 34.95
40.66 -5.55 25.95
40.66 -5.55 16.95
40.66 -5.55 12.45
40.66 -5.55 21.45
11.04 -9.75 21.75
11.04 -9.75 12.75
16.86 -10.05 12.75
16.86 -7.65 75.75
16.86 -5.25 66.75
16.86 -7.65 48.75
16.86 -5.25 48.75
16.86 -5.25 26.25
16.86 -5.25 35.25
16.86 -5.25 21.75
16.86 -5.25 30.75
16.86 -7.65 57.75
16.86 -7.65 62.25
16.86 -5.25 44.25
16.86 -5.25 17.25
16.86 -5.25 39.75
16.86 -7.65 53.25
16.86 -5.25 80.25
40.34 -5.25 53.25
40.34 -5.25 48.75
40.34 -5.25 57.75
40.34 -5.25 35.25
40.34 -5.25 44.25
40.34 -5.25 26.25
40.34 -5.25 17.25
40.34 -5.25 12.75
40.34 -5.25 21.75
16.78 -10.35 12.75
16.78 -7.95 75.75
16.78 -5.55 66.75
16.78 -7.95 48.75
16.78 -5.55 48.75
16.78 -5.55 26.25
16.78 -5.55 35.25
16.78 -5.55 21.75
16.78 -5.55 30.75
16.78 -7.95 57.75
16.78 -7.95 62.25
16.78 -5.55 44.25
16.78 -5.55 17.25
16.78 -5.55 39.75
16.78 -7.95 53.25
40.68 -5.55 48.75
40.68 -5.55 35.25
40.68 -5.55 26.25
40.68 -5.55 17.25
40.68 -5.55 12.75
40.68 -5.55 21.75
10.98 -9.75 22.05
10.98 -9.75 13.05
16.84 -10.05 13.05
16.84 -7.65 76.05
16.84 -5.25 67.05
16.84 -7.65 49.05
16.84 -5.25 49.05
16.84 -5.25 26.55
16.84 -5.25 35.55
16.84 -5.25 22.05
16.84 -5.25 31.05
16.84 -7.65 58.05
16.84 -7.65 62.55
16.84 -5.25 44.55
16.84 -5.25 17.55
16.84 -5.25 40.05
16.84 -7.65 53.55
16.84 -5.25 80.55
40.36 -5.25 53.55
40.36 -5.25 49.05
40.36 -5.25 58.05
40.36 -5.25 35.55
40.36 -5.25 44.55
40.36 -5.25 26.55
40.36 -5.25 17.55
40.36 -5.25 13.05
40.36 -5.25 22.05
16.76 -10.35 13.05
16.76 -7.95 76.05
16.76 -5.55 67.05
16.76 -7.95 49.05
16.76 -5.55 49.05
16.76 -5.55 26.55
16.76 -5.55 35.55
16.76 -5.55 22.05
16.76 -5.55 31.05
16.76 -7.95 58.05
16.76 -7.95 62.55
16.76 -5.55 44.55
16.76 -5.55 17.55
16.76 -5.55 40.05
16.76 -7.95 53.55
40.64 -5.55 49.05
40.64 -5.55 35.55
40.64 -5.55 26.55
40.64 -5.55 17.55
40.64 -5.55 13.05
40.64 -5.55 22.05
16.74 -10.65 13.05
16.74 -8.25 76.05
16.74 -5.85 67.05
16.74 -8.25 49.05
16.74 -5.85 49.05
16.74 -5.85 26.55
16.74 -5.85 35.55
16.74 -5.85 22.05
16.74 -5.85 31.05
16.74 -8.25 58.05
16.74 -8.25 62.55
16.74 -5.85 44.55
16.74 -5.85 17.55
16.74 -5.85 40.05
16.74 -8.25 53.55
10.52 -9.75 22.35
16.86 -10.05 13.35
16.86 -7.65 76.35
16.86 -5.25 67.35
16.86 -7.65 49.35
16.86 -5.25 49.35
16.86 -5.25 26.85
16.86 -5.25 35.85
16.86 -5.25 22.35
16.86 -5.25 31.35
16.86 -7.65 58.35
16.86 -7.65 62.85
16.86 -5.25 44.85
16.86 -5.25 17.85
16.86 -5.25 40.35
16.86 -7.65 53.85
16.86 -5.25 80.85
40.54 -5.25 53.85
40.54 -5.25 49.35
40.54 -5.25 35.85
40.54 -5.25 44.85
40.54 -5.25 26.85
40.54 -5.25 17.85
40.54 -5.25 13.35
40.54 -5.25 22.35
11.76 -10.05 22.35
11.76 -10.05 13.35
11.76 -7.65 76.35
16.78 -10.35 13.35
16.78 -7.95 76.35
16.78 -5.55 67.35
16.78 -7.95 49.35
16.78 -5.55 49.35
16.78 -5.55 26.85
16.78 -5.55 35.85
16.78 -5.55 22.35
16.78 -5.55 31.35
16.78 -7.95 58.35
16.78 -7.95 62.85
16.78 -5.55 44.85
16.78 -5.55 17.85
16.78 -5.55 40.35
16.78 -7.95 53.85
40.84 -5.55 49.35
40.84 -5.55 35.85
40.84 -5.55 26.85
40.84 -5.55 17.85
40.84 -5.55 13.35
40.84 -5.55 22.35
16.46 -10.65 13.35
16.46 -8.25 76.35
16.46 -5.85 67.35
16.46 -8.25 49.35
16.46 -5.85 49.35
16.46 -5.85 26.85
16.46 -5.85 35.85
16.46 -5.85 22.35
16.46 -5.85 31.35
16.46 -8.25 58.35
16.46 -8.25 62.85
16.46 -5.85 44.85
16.46 -5.85 17.85
16.46 -5.85 40.35
16.46 -8.25 53.85
41.44 -5.85 26.85
41.44 -5.85 17.85
41.44 -5.85 13.35
41.44 -5.85 22.35
16.78 -8.55 9.15
16.78 -6.15 72.15
16.78 -3.75 63.15
16.78 -6.15 45.15
16.78 -3.75 45.15
16.78 -3.75 22.65
16.78 -3.75 31.65
16.78 -3.75 18.15
16.78 -3.75 27.15
16.78 -6.15 54.15
16.78 -6.15 58.65
16.78 -3.75 40.65
16.78 -3.75 13.65
16.78 -3.75 36.15
16.78 -6.15 49.65
16.78 -8.85 9.15
16.78 -6.45 72.15
16.78 -4.05 63.15
16.78 -6.45 45.15
16.78 -4.05 45.15
16.78 -4.05 22.65
16.78 -4.05 31.65
16.78 -4.05 18.15
16.78 -4.05 27.15
16.78 -6.45 54.15
16.78 -6.45 58.65
16.78 -4.05 40.65
16.78 -4.05 13.65
16.78 -4.05 36.15
16.78 -6.45 49.65
16.78 -4.05 76.65
16.78 -6.45 76.65
16.04 -8.85 9.15
16.04 -6.45 72.15
16.04 -4.05 63.15
16.04 -6.45 45.15
16.04 -4.05 45.15
16.04 -4.05 22.65
16.04 -4.05 31.65
16.04 -4.05 18.15
16.04 -4.05 27.15
16.04 -6.45 54.15
16.04 -6.45 58.65
16.04 -4.05 40.65
16.04 -4.05 13.65
16.04 -4.05 36.15
16.04 -6.45 49.65
17.96 -8.85 9.15
17.96 -6.45 72.15
17.96 -4.05 63.15
17.96 -4.05 27.15
17.96 -4.05 76.65
17.96 -6.45 76.65
16.78 -9.15 9.15
16.78 -6.75 72.15
16.78 -4.35 63.15
16.78 -6.75 45.15
16.78 -4.35 45.15
16.78 -4.35 22.65
16.78 -4.35 31.65
16.78 -4.35 18.15
16.78 -4.35 27.15
16.78 -6.75 54.15
16.78 -6.75 58.65
16.78 -4.35 40.65
16.78 -4.35 13.65
16.78 -4.35 36.15
16.78 -6.75 49.65
38 -4.65 76.65
38 -4.65 67.65
38 -4.65 63.15
38 -4.65 58.65
38 -4.65 49.65
38 -4.65 45.15
38 -4.65 54.15
38 -4.65 31.65
38 -4.65 40.65
38 -4.65 22.65
38 -4.65 13.65
38.76 -4.95 76.65
38.76 -4.95 67.65
38.76 -4.95 63.15
38.76 -4.95 58.65
38.76 -4.95 49.65
38.76 -4.95 45.15
38.76 -4.95 54.15
38.76 -4.95 31.65
38.76 -4.95 40.65
38.76 -4.95 22.65
38.76 -4.95 13.65
38.76 -4.95 9.15
38.76 -4.95 18.15
16.76 -10.65 9.15
16.76 -8.25 72.15
16.76 -5.85 63.15
16.76 -8.25 45.15
16.76 -5.85 45.15
16.76 -5.85 22.65
16.76 -5.85 31.65
16.76 -5.85 18.15
16.76 -5.85 27.15
16.76 -8.25 54.15
16.76 -8.25 58.65
16.76 -5.85 40.65
16.76 -5.85 13.65
16.76 -5.85 36.15
16.76 -8.25 49.65
16.78 -8.55 9.45
16.78 -6.15 72.45
16.78 -3.75 63.45
16.78 -6.15 45.45
16.78 -3.75 45.45
16.78 -3.75 22.95
16.78 -3.75 31.95
16.78 -3.75 18.45
16.78 -3.75 27.45
16.78 -6.15 54.45
16.78 -6.15 58.95
16.78 -3.75 40.95
16.78 -3.75 13.95
16.78 -3.75 36.45
16.78 -6.15 49.95
16.78 -3.75 76.95
16.78 -6.15 76.95
16.78 -8.85 9.45
16.78 -6.45 72.45
16.78 -4.05 63.45
16.78 -6.45 45.45
16.78 -4.05 45.45
16.78 -4.05 22.95
16.78 -4.05 31.95
16.78 -4.05 18.45
16.78 -4.05 27.45
16.78 -6.45 54.45
16.78 -6.45 58.95
16.78 -4.05 40.95
16.78 -4.05 13.95
16.78 -4.05 36.45
16.78 -6.45 49.95
16.78 -4.05 76.95
16.78 -6.45 76.95
15.78 -8.85 9.45
15.78 -6.45 72.45
15.78 -4.05 63.45
15.78 -6.45 45.45
15.78 -4.05 45.45
15.78 -4.05 22.95
15.78 -4.05 31.95
15.78 -4.05 18.45
15.78 -4.05 27.45
15.78 -6.45 54.45
15.78 -6.45 58.95
15.78 -4.05 40.95
15.78 -4.05 13.95
15.78 -4.05 36.45
8.8 -8.85 18.45
15.6 -9.15 9.45
15.6 -6.75 72.45
15.6 -4.35 63.45
15.6 -6.75 45.45
15.6 -4.35 45.45
15.6 -4.35 22.95
15.6 -4.35 31.95
15.6 -4.35 18.45
15.6 -4.35 27.45
15.6 -6.75 54.45
15.6 -6.75 58.95
15.6 -4.35 40.95
15.6 -4.35 13.95
15.6 -4.35 36.45
37.74 -4.65 76.95
37.74 -4.65 67.95
37.74 -4.65 63.45
37.74 -4.65 58.95
37.74 -4.65 49.95
37.74 -4.65 45.45
37.74 -4.65 54.45
37.74 -4.65 31.95
37.74 -4.65 40.95
37.74 -4.65 22.95
37.74 -4.65 13.95
37.74 -4.65 9.45
39.28 -4.95 76.95
39.28 -4.95 67.95
39.28 -4.95 63.45
39.28 -4.95 58.95
39.28 -4.95 49.95
39.28 -4.95 45.45
39.28 -4.95 54.45
39.28 -4.95 31.95
39.28 -4.95 40.95
39.28 -4.95 22.95
39.28 -4.95 13.95
39.28 -4.95 9.45
39.28 -4.95 18.45
17.36 -10.35 9.45
17.36 -7.95 72.45
17.36 -5.55 63.45
17.36 -7.95 45.45
17.36 -5.55 45.45
17.36 -5.55 22.95
17.36 -5.55 31.95
17.36 -5.55 18.45
17.36 -5.55 27.45
17.36 -7.95 54.45
17.36 -7.95 58.95
17.36 -5.55 40.95
17.36 -5.55 13.95
17.36 -5.55 36.45
17.36 -7.95 49.95
17.36 -5.55 76.95
17.36 -7.95 76.95
37.52 -5.55 76.95
37.52 -5.55 67.95
37.52 -5.55 63.45
37.52 -5.55 58.95
37.52 -5.55 49.95
37.52 -5.55 45.45
37.52 -5.55 54.45
37.52 -5.55 31.95
37.52 -5.55 40.95
37.52 -5.55 22.95
17.44 -10.65 9.45
17.44 -8.25 72.45
17.44 -5.85 63.45
17.44 -5.85 22.95
17.44 -5.85 31.95
17.44 -5.85 18.45
17.44 -5.85 27.45
17.44 -8.25 58.95
17.44 -5.85 13.95
17.44 -5.85 36.45
17.44 -8.25 49.95
17.44 -5.85 76.95
17.44 -8.25 76.95
16.78 -8.55 9.75
16.78 -6.15 72.75
16.78 -3.75 63.75
16.78 -6.15 45.75
16.78 -3.75 45.75
16.78 -3.75 23.25
16.78 -3.75 32.25
16.78 -3.75 18.75
16.78 -3.75 27.75
16.78 -6.15 54.75
16.78 -6.15 59.25
16.78 -3.75 41.25
16.78 -3.75 14.25
16.78 -3.75 36.75
16.78 -6.15 50.25
16.78 -3.75 77.25
16.8 -8.85 9.75
16.8 -6.45 72.75
16.8 -4.05 63.75
16.8 -6.45 45.75
16.8 -4.05 45.75
16.8 -4.05 23.25
16.8 -4.05 32.25
16.8 -4.05 18.75
16.8 -4.05 27.75
16.8 -6.45 54.75
16.8 -6.45 59.25
16.8 -4.05 41.25
16.8 -4.05 14.25
16.8 -4.05 36.75
16.8 -6.45 50.25
16.8 -4.05 77.25
16.8 -6.45 77.25
16.76 -9.15 9.75
16.76 -6.75 72.75
16.76 -4.35 63.75
16.76 -6.75 45.75
16.76 -4.35 45.75
16.76 -4.35 23.25
16.76 -4.35 32.25
